date,upro_equity_rebased_usd,futures_equity_rebased_usd,upro_simple_ret,futures_simple_ret,log_ret_diff_fut_minus_upro
2011-08-12,1530713.312551,1617961.675753,0.00212129,0.00212140,0.00000011
2011-08-15,1535561.992208,1623087.114223,0.00316759,0.00316784,0.00000024
2011-08-16,1531410.904205,1618699.116810,-0.00270330,-0.00270349,-0.00000019
2011-08-17,1535102.553307,1622601.475594,0.00241062,0.00241080,0.00000018
2011-08-18,1518076.916759,1604603.843241,-0.01109088,-0.01109184,-0.00000097
2011-08-19,1507711.232700,1593646.418106,-0.00682817,-0.00682874,-0.00000058
2011-08-22,1504664.566850,1590425.779475,-0.00202072,-0.00202092,-0.00000020
2011-08-23,1513364.979866,1599622.917508,0.00578229,0.00578281,0.00000052
2011-08-24,1525662.167909,1612622.033377,0.00812573,0.00812636,0.00000063
2011-08-25,1512742.519793,1598964.797076,-0.00846822,-0.00846896,-0.00000075
2011-08-26,1518893.601712,1605466.994042,0.00406618,0.00406650,0.00000032
2011-08-29,1540265.020864,1628058.414360,0.01407039,0.01407156,0.00000115
2011-08-30,1537258.424484,1624880.187117,-0.00195200,-0.00195216,-0.00000016
2011-08-31,1543173.469762,1631132.786045,0.00384779,0.00384804,0.00000025
2011-09-01,1531468.651835,1618759.759999,-0.00758490,-0.00758554,-0.00000065
2011-09-02,1514960.163541,1601309.063823,-0.01077951,-0.01078029,-0.00000078
2011-09-06,1503944.679178,1589665.398572,-0.00727114,-0.00727134,-0.00000021
2011-09-07,1519779.017563,1606403.783663,0.01052854,0.01052950,0.00000095
2011-09-08,1510667.003696,1596771.811560,-0.00599562,-0.00599598,-0.00000037
2011-09-09,1499562.782808,1585033.810927,-0.00735054,-0.00735108,-0.00000054
2011-09-12,1503204.062481,1588883.470642,0.00242823,0.00242876,0.00000053
2011-09-13,1500899.355164,1586447.317238,-0.00153320,-0.00153325,-0.00000005
2011-09-14,1503825.367124,1589540.568200,0.00194951,0.00194980,0.00000029
2011-09-15,1512302.584911,1598501.804954,0.00563710,0.00563763,0.00000052
2011-09-16,1515070.650862,1601428.038387,0.00183037,0.00183061,0.00000024
2011-09-19,1499129.252056,1584577.048875,-0.01052188,-0.01052248,-0.00000060
2011-09-20,1499024.955008,1584466.967966,-0.00006957,-0.00006947,0.00000010
2011-09-21,1482537.710196,1567038.694581,-0.01099865,-0.01099946,-0.00000082
2011-09-22,1475440.519998,1559536.532163,-0.00478719,-0.00478748,-0.00000029
2011-09-23,1475782.946963,1559898.675483,0.00023208,0.00023221,0.00000013
2011-09-26,1510360.638942,1596450.778530,0.02343007,0.02343236,0.00000224
2011-09-27,1506913.621827,1592807.184138,-0.00228225,-0.00228231,-0.00000006
2011-09-28,1499218.578333,1584672.965398,-0.00510649,-0.00510684,-0.00000035
2011-09-29,1511263.056190,1597405.121524,0.00803384,0.00803456,0.00000072
2011-09-30,1498878.331200,1584313.568434,-0.00819495,-0.00819551,-0.00000057
2011-10-03,1494809.166995,1580012.030460,-0.00271481,-0.00271508,-0.00000027
2011-10-04,1516369.838184,1602803.434158,0.01442369,0.01442483,0.00000112
2011-10-05,1516003.687544,1602416.291398,-0.00024147,-0.00024154,-0.00000008
2011-10-06,1519232.717369,1605829.631943,0.00212996,0.00213012,0.00000016
2011-10-07,1507026.864212,1592926.919435,-0.00803422,-0.00803492,-0.00000070
2011-10-10,1525063.884148,1611993.296729,0.01196861,0.01196940,0.00000078
2011-10-11,1519398.222950,1606004.121130,-0.00371503,-0.00371538,-0.00000035
2011-10-12,1528847.761609,1615992.920566,0.00621926,0.00621966,0.00000039
2011-10-13,1528054.016405,1615153.727499,-0.00051918,-0.00051930,-0.00000013
2011-10-14,1531972.199077,1619295.459862,0.00256417,0.00256430,0.00000013
2011-10-17,1522107.098490,1608866.908828,-0.00643948,-0.00644018,-0.00000071
2011-10-18,1536715.567614,1624309.181848,0.00959753,0.00959823,0.00000069
2011-10-19,1531900.615538,1619219.267507,-0.00313327,-0.00313359,-0.00000031
2011-10-20,1543063.929370,1631019.733296,0.00728723,0.00728775,0.00000052
2011-10-21,1556098.213409,1644798.011380,0.00844701,0.00844765,0.00000063
2011-10-24,1557377.009124,1646149.491651,0.00082180,0.00082167,-0.00000013
2011-10-25,1546290.366483,1634429.849833,-0.00711879,-0.00711943,-0.00000064
2011-10-26,1563026.850992,1652121.672384,0.01082364,0.01082446,0.00000082
2011-10-27,1579213.614422,1669232.354951,0.01035604,0.01035679,0.00000075
2011-10-28,1578007.638138,1667957.443014,-0.00076366,-0.00076377,-0.00000012
2011-10-31,1566342.915889,1655626.455094,-0.00739206,-0.00739287,-0.00000082
